luck_wdi_adultfemale_bodywall_a	luck_wdi_adultfemale_bodywall_b	luck_wdi_adultfemale_head_a	luck_wdi_adultfemale_head_b	luck_wdi_adultfemale_intestine_a	luck_wdi_adultfemale_intestine_b	luck_wdi_adultfemale_uterus_a	luck_wdi_adultfemale_uterus_b	luck_wdi_adultmale_bodywall_a	luck_wdi_adultmale_bodywall_b	luck_wdi_adultmale_intestine_a	luck_wdi_adultmale_testis_a
fig|82301.12.peg.360	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.361	0	0	0	0	0	0	0	0	0.25	0	0	0
fig|82301.12.peg.362	0	0	0	0	0	0	0	0	0.08	0	0	0
fig|82301.12.peg.363	0	0	0	0	0	0	0	0	0.08	0	0	0
fig|82301.12.peg.364	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.365	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.366	1	0.5	1.5	0	0	0	0	0	0.5	2.5	0	0
fig|82301.12.peg.367	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.368	1.5	0	0	0.5	0	0	0	0	1	1	0	0
fig|82301.12.peg.369	0	0.5	0.5	0	0	0	0	0	0.5	0.01	0	0
fig|82301.12.peg.37	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.370	0	0	0	0	0	0	0	0	0	0.46	0	0
fig|82301.12.peg.371	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.372	0.5	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.373	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.374	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.375	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.376	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.377	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.378	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.379	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.38	0	0	0	0.5	0	0	0	0	2	2	0	0
fig|82301.12.peg.380	0	0	0	0	0	0	0	0	0.47	0	0	0
fig|82301.12.peg.381	0	0.28	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.382	0	0.2	0	0.5	0	0	0	0	0.5	0	0	0
fig|82301.12.peg.383	0	0	0.5	0	0	0	0	0	1	0	0	0
fig|82301.12.peg.384	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.385	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.386	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.387	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.388	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.389	0.5	0.5	2	0	0	0	0	0	1.5	0.5	0	0
fig|82301.12.peg.39	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.390	0.4	0	0.4	0	0	0	0	0	0.26	0	0	0
fig|82301.12.peg.391	0	1	0	0	0	0	0	0	0.5	0.5	0	0
fig|82301.12.peg.392	0	0	0	0.07	0	0	0	0	0.5	1	0	0
fig|82301.12.peg.393	0.5	0	0	0.15	0	0	0	0	0	0.51	0	0
fig|82301.12.peg.394	0	0	0	0	0	0	0	0	0	0	0	0
